date ,Sun Power (kWh),outside temp (F),outside temp (C),Sunangle
14/01/2014 00:00,0,45.15,7.31,0
14/01/2014 01:00,0,44.65,7.03,0
14/01/2014 02:00,0,43.64,6.47,0
14/01/2014 03:00,0,42.66,5.92,0
14/01/2014 04:00,0,41.67,5.37,0
14/01/2014 05:00,0,41.14,5.08,0
14/01/2014 06:00,0,40.6,4.78,0
14/01/2014 07:00,0,40.32,4.62,0
14/01/2014 08:00,0.064,39.7,4.28,0
14/01/2014 09:00,0.245,38.76,3.76,5.52
14/01/2014 10:00,0.371,40.32,4.62,11.24
14/01/2014 11:00,0.291,42.26,5.70,15.12
14/01/2014 12:00,0.185,42.78,5.99,16.84
14/01/2014 13:00,0.246,44.7,7.06,16.22
14/01/2014 14:00,0.189,44.8,7.11,13.32
14/01/2014 15:00,0.034,43.91,6.62,8.41
14/01/2014 16:00,0,42.13,5.63,1.88
14/01/2014 17:00,0,39.63,4.24,0
14/01/2014 18:00,0,39.04,3.91,0
14/01/2014 19:00,0,39.03,3.91,0
14/01/2014 20:00,0,39.58,4.21,0
14/01/2014 21:00,0,39.86,4.37,0
14/01/2014 22:00,0,40.85,4.92,0
14/01/2014 23:00,0,41.96,5.53,0
15/01/2014 00:00,0,43.29,6.27,0
15/01/2014 01:00,0,43.43,6.35,0
15/01/2014 02:00,0,43.67,6.48,0
15/01/2014 03:00,0,43.47,6.37,0
15/01/2014 04:00,0,43.61,6.45,0
15/01/2014 05:00,0,43.86,6.59,0
15/01/2014 06:00,0,44.82,7.12,0
15/01/2014 07:00,0,46.23,7.91,0
15/01/2014 08:00,0.001,47.09,8.38,0
15/01/2014 09:00,0.014,48.07,8.93,5.63
15/01/2014 10:00,0.024,48.72,9.29,11.38
15/01/2014 11:00,0.039,49.39,9.66,15.28
15/01/2014 12:00,0.047,49.84,9.91,17.01
15/01/2014 13:00,0.032,49.99,9.99,16.4
15/01/2014 14:00,0.014,49.96,9.98,13.51
15/01/2014 15:00,0.002,49.99,9.99,8.61
15/01/2014 16:00,0,49.88,9.93,2.08
15/01/2014 17:00,0,49.5,9.72,0
15/01/2014 18:00,0,48.85,9.36,0
15/01/2014 19:00,0,48.68,9.27,0
15/01/2014 20:00,0,48.73,9.29,0
15/01/2014 21:00,0,49.25,9.58,0
15/01/2014 22:00,0,49.28,9.60,0
15/01/2014 23:00,0,49.51,9.73,0
16/01/2014 00:00,0,49.69,9.83,0
16/01/2014 01:00,0,49.74,9.86,0
16/01/2014 02:00,0,50.01,10.01,0
16/01/2014 03:00,0,49.88,9.93,0
16/01/2014 04:00,0,49.71,9.84,0
16/01/2014 05:00,0,48.81,9.34,0
16/01/2014 06:00,0,47.62,8.68,0
16/01/2014 07:00,0,47.32,8.51,0
16/01/2014 08:00,0.013,47.24,8.47,0
16/01/2014 09:00,0.05,47,8.33,5.76
16/01/2014 10:00,0.105,47.26,8.48,11.52
16/01/2014 11:00,0.126,48.12,8.96,15.45
16/01/2014 12:00,0.096,49.16,9.53,17.2
16/01/2014 13:00,0.054,50.43,10.24,16.6
16/01/2014 14:00,0.03,49.41,9.67,13.72
16/01/2014 15:00,0.01,48.52,9.18,8.81
16/01/2014 16:00,0,47.98,8.88,2.28
16/01/2014 17:00,0,47.32,8.51,0
16/01/2014 18:00,0,47.43,8.57,0
16/01/2014 19:00,0,47.35,8.53,0
16/01/2014 20:00,0,47.67,8.71,0
16/01/2014 21:00,0,47.68,8.71,0
16/01/2014 22:00,0,47.59,8.66,0
16/01/2014 23:00,0,46.98,8.32,0
