date,from,to,code,gsp,region_name,unit_rate_excl_vat,unit_rate_incl_vat
31/01/2019,00:00:00,00:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.14,10.647
31/01/2019,00:30:00,01:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.49,12.0645
31/01/2019,01:00:00,01:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.93,12.5265
31/01/2019,01:30:00,02:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.13,11.6865
31/01/2019,02:00:00,02:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.13,11.6865
31/01/2019,02:30:00,03:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.13,11.6865
31/01/2019,03:00:00,03:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.71,11.2455
31/01/2019,03:30:00,04:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.71,11.2455
31/01/2019,04:00:00,04:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.5,11.025
31/01/2019,04:30:00,05:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.08,10.584
31/01/2019,05:00:00,05:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.55,12.1275
31/01/2019,05:30:00,06:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.51,12.0855
31/01/2019,06:00:00,06:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,14.03,14.7315
31/01/2019,06:30:00,07:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.76,12.348
31/01/2019,07:00:00,07:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.69,14.3745
31/01/2019,07:30:00,08:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,15.29,16.0545
31/01/2019,08:00:00,08:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,15.22,15.981
31/01/2019,08:30:00,09:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,14.68,15.414
31/01/2019,09:00:00,09:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,14.91,15.6555
31/01/2019,09:30:00,10:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,14.11,14.8155
31/01/2019,10:00:00,10:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.82,14.511
31/01/2019,10:30:00,11:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.89,13.5345
31/01/2019,11:00:00,11:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.15,13.8075
31/01/2019,11:30:00,12:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.18,12.789
31/01/2019,12:00:00,12:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.62,13.251
31/01/2019,12:30:00,13:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.05,12.6525
31/01/2019,13:00:00,13:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.44,14.112
31/01/2019,13:30:00,14:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.6,13.23
31/01/2019,14:00:00,14:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.6,13.23
31/01/2019,14:30:00,15:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.18,12.789
31/01/2019,15:00:00,15:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.66,12.243
31/01/2019,15:30:00,16:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.02,13.671
31/01/2019,16:00:00,16:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,23.51,24.6855
31/01/2019,16:30:00,17:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,26.28,27.594
31/01/2019,17:00:00,17:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,25.44,26.712
31/01/2019,17:30:00,18:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,25.86,27.153
31/01/2019,18:00:00,18:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,25.34,26.607
31/01/2019,18:30:00,19:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,24.56,25.788
31/01/2019,19:00:00,19:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.54,14.217
31/01/2019,19:30:00,20:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.92,14.616
31/01/2019,20:00:00,20:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,12.79,13.4295
31/01/2019,20:30:00,21:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.66,12.243
31/01/2019,21:00:00,21:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,11.02,11.571
31/01/2019,21:30:00,22:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.29,10.8045
31/01/2019,22:00:00,22:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.98,10.479
31/01/2019,22:30:00,23:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.74,10.227
31/01/2019,23:00:00,23:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.66,10.143
31/01/2019,23:30:00,00:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.56,10.038
01/02/2019,00:00:00,00:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.56,10.038
01/02/2019,00:30:00,01:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.68,10.164
01/02/2019,01:00:00,01:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.75,11.2875
01/02/2019,01:30:00,02:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.68,10.164
01/02/2019,02:00:00,02:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.62,10.101
01/02/2019,02:30:00,03:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.66,10.143
01/02/2019,03:00:00,03:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.87,10.3635
01/02/2019,03:30:00,04:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.56,10.038
01/02/2019,04:00:00,04:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.66,10.143
01/02/2019,04:30:00,05:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.66,10.143
01/02/2019,05:00:00,05:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,10.33,10.8465
01/02/2019,05:30:00,06:00:00,E-1R-AGILE-18-02-21-E,_E,Midlands,9.76,10.248
01/02/2019,06:00:00,06:30:00,E-1R-AGILE-18-02-21-E,_E,Midlands,13.82,14.511
