Date,00:00,01:00,02:00,03:00,04:00,05:00,06:00,07:00,08:00,09:00,10:00,11:00,12:00,13:00,14:00,15:00,16:00,17:00,18:00,19:00,20:00,21:00,22:00,23:00,00:00
01/01/2017,43.44,42.535,42.535,42.535,44.345,44.345,44.345,44.345,45.25,41.63,41.63,42.535,40.725,41.63,41.63,41.63,41.63,44.345,44.345,44.345,44.345,44.345,43.44,43.44,43.44
02/01/2017,45.25,43.44,42.535,42.535,41.63,39.82,41.63,41.63,41.63,38.915,38.915,37.105,38.01,38.01,38.915,38.01,38.01,41.63,41.63,41.63,39.82,41.63,40.725,40.725,40.725
03/01/2017,41.63,40.725,40.725,41.63,39.82,40.725,40.725,40.725,42.535,57.015,71.495,71.495,66.065,66.065,67.875,69.685,64.255,66.065,50.68,44.345,42.535,42.535,41.63,43.44,44.345
04/01/2017,43.44,42.535,42.535,42.535,44.345,42.535,41.63,41.63,46.155,53.395,68.78,71.495,78.735,71.495,75.115,74.21,74.21,70.59,60.635,47.06,47.06,45.25,48.87,46.155,47.06
05/01/2017,47.06,46.155,47.06,46.155,47.06,45.25,46.155,45.25,48.87,60.635,70.59,76.925,77.83,75.115,73.305,70.59,70.59,74.21,66.065,54.3,47.06,47.965,47.06,47.965,47.06
06/01/2017,49.775,50.68,47.06,47.965,47.965,48.87,47.965,47.06,47.06,63.35,73.305,74.21,71.495,75.115,72.4,78.735,74.21,74.21,56.11,47.06,45.25,43.44,40.725,43.44,43.44
07/01/2017,41.63,42.535,42.535,43.44,45.25,44.345,44.345,44.345,46.155,43.44,46.155,44.345,45.25,44.345,42.535,41.63,41.63,44.345,45.25,45.25,44.345,44.345,43.44,43.44,43.44
08/01/2017,41.63,42.535,42.535,43.44,45.25,44.345,44.345,44.345,46.155,43.44,46.155,44.345,45.25,44.345,42.535,41.63,41.63,44.345,45.25,45.25,44.345,44.345,43.44,43.44,43.44
09/01/2017,43.44,45.25,43.44,43.44,44.345,45.25,45.25,45.25,47.965,59.73,72.4,75.115,76.02,77.83,79.64,77.83,76.925,71.495,65.16,55.205,52.49,52.49,51.585,51.585,50.68
10/01/2017,53.395,52.49,52.49,51.585,52.49,47.965,49.775,47.965,47.06,60.635,79.64,76.925,78.735,76.02,69.685,71.495,72.4,71.495,64.255,49.775,47.965,44.345,45.25,48.87,48.87
11/01/2017,53.395,52.49,52.49,51.585,52.49,47.965,49.775,47.965,47.06,60.635,79.64,76.925,78.735,76.02,69.685,71.495,72.4,71.495,64.255,49.775,47.965,44.345,45.25,48.87,48.87
12/01/2017,47.06,47.06,47.06,47.06,47.965,46.155,45.25,44.345,48.87,61.54,73.305,78.735,82.355,76.925,74.21,74.21,75.115,69.685,60.635,50.68,48.87,47.06,47.965,47.06,48.87
13/01/2017,47.06,47.06,48.87,47.965,47.965,47.965,47.06,47.06,47.965,62.445,75.115,81.45,76.925,75.115,74.21,73.305,77.83,76.02,64.255,51.585,48.87,44.345,44.345,43.44,43.44
14/01/2017,45.25,43.44,45.25,42.535,44.345,44.345,43.44,43.44,44.345,42.535,42.535,41.63,42.535,41.63,41.63,39.82,41.63,43.44,43.44,45.25,43.44,43.44,42.535,42.535,43.44
15/01/2017,42.535,42.535,44.345,43.44,43.44,43.44,42.535,42.535,42.535,41.63,40.725,42.535,40.725,41.63,41.63,41.63,41.63,48.87,47.06,47.06,44.345,43.44,44.345,44.345,43.44
16/01/2017,43.44,44.345,42.535,45.25,46.155,45.25,45.25,46.155,47.965,61.54,75.115,76.925,76.925,85.07,88.69,85.975,82.355,81.45,72.4,60.635,50.68,49.775,50.68,48.87,47.06
17/01/2017,47.965,47.965,47.06,47.06,46.155,47.965,47.965,47.06,48.87,66.065,76.02,81.45,79.64,78.735,78.735,82.355,78.735,71.495,66.065,52.49,47.965,47.965,48.87,48.87,47.965
18/01/2017,47.06,48.87,48.87,47.965,49.775,48.87,47.965,47.06,48.87,65.16,77.83,76.02,77.83,82.355,75.115,77.83,77.83,81.45,64.255,57.015,47.06,45.25,46.155,46.155,45.25
19/01/2017,47.06,47.06,46.155,46.155,46.155,45.25,46.155,43.44,46.155,60.635,75.115,78.735,79.64,75.115,75.115,75.115,72.4,70.59,61.54,47.965,45.25,46.155,46.155,46.155,47.06
20/01/2017,46.155,47.06,47.06,46.155,46.155,46.155,47.06,45.25,47.06,59.73,73.305,76.02,75.115,69.685,72.4,66.97,69.685,69.685,58.825,47.06,41.63,42.535,42.535,42.535,41.63
21/01/2017,43.44,42.535,43.44,42.535,43.44,42.535,41.63,42.535,41.63,38.915,43.44,42.535,42.535,42.535,42.535,42.535,41.63,41.63,42.535,42.535,42.535,43.44,42.535,42.535,43.44
22/01/2017,42.535,41.63,41.63,40.725,43.44,42.535,41.63,42.535,42.535,40.725,39.82,39.82,40.725,39.82,40.725,39.82,40.725,38.915,43.44,44.345,42.535,41.63,42.535,43.44,44.345
23/01/2017,42.535,43.44,42.535,41.63,43.44,41.63,42.535,42.535,47.06,56.11,76.925,79.64,82.355,79.64,77.83,77.83,79.64,70.59,59.73,45.25,41.63,41.63,42.535,41.63,42.535
24/01/2017,41.63,42.535,43.44,42.535,44.345,42.535,43.44,44.345,45.25,57.92,75.115,79.64,78.735,74.21,79.64,75.115,74.21,71.495,66.97,55.205,47.965,49.775,47.06,46.155,45.25
25/01/2017,45.25,46.155,46.155,46.155,47.06,44.345,44.345,45.25,44.345,59.73,78.735,78.735,83.26,79.64,78.735,80.545,81.45,82.355,66.065,48.87,48.87,48.87,48.87,49.775,48.87
26/01/2017,48.87,48.87,49.775,48.87,49.775,47.965,47.965,49.775,50.68,58.825,87.785,82.355,81.45,80.545,85.975,81.45,76.02,71.495,58.825,48.87,44.345,45.25,44.345,45.25,46.155
27/01/2017,45.25,44.345,45.25,44.345,46.155,45.25,45.25,44.345,44.345,64.255,78.735,75.115,72.4,71.495,73.305,69.685,78.735,75.115,57.92,47.06,42.535,42.535,42.535,41.63,41.63
28/01/2017,42.535,42.535,41.63,41.63,42.535,42.535,42.535,43.44,42.535,39.82,40.725,43.44,39.82,41.63,40.725,40.725,40.725,41.63,47.06,45.25,41.63,41.63,42.535,42.535,40.725
29/01/2017,42.535,41.63,40.725,41.63,41.63,41.63,41.63,43.44,41.63,38.915,39.82,38.915,38.915,39.82,40.725,40.725,38.915,41.63,44.345,45.25,44.345,46.155,46.155,43.44,42.535
30/01/2017,43.44,41.63,43.44,42.535,45.25,44.345,45.25,46.155,47.06,64.255,73.305,81.45,80.545,76.02,77.83,75.115,81.45,76.925,67.875,59.73,50.68,47.965,49.775,48.87,51.585
31/01/2017,50.68,50.68,52.49,51.585,51.585,52.49,52.49,50.68,50.68,63.35,77.83,80.545,76.925,81.45,87.785,85.975,87.785,81.45,66.97,54.3,52.49,48.87,47.06,47.06,46.155
