,Import(kWh)
01/01/2019 00:00,66.64
01/01/2019 01:00,64.335
01/01/2019 02:00,65.835
01/01/2019 03:00,67.535
01/01/2019 04:00,66.445
01/01/2019 05:00,65.145
01/01/2019 06:00,65.845
01/01/2019 07:00,66.645
01/01/2019 08:00,68.05
01/01/2019 09:00,54.93
01/01/2019 10:00,46.13
01/01/2019 11:00,42.235
01/01/2019 12:00,47.025
01/01/2019 13:00,53.63
01/01/2019 14:00,64.33
01/01/2019 15:00,64.83
01/01/2019 16:00,67.53
01/01/2019 17:00,72.045
01/01/2019 18:00,74.745
01/01/2019 19:00,71.645
01/01/2019 20:00,69.145
01/01/2019 21:00,69.045
01/01/2019 22:00,67.44
01/01/2019 23:00,66.24
02/01/2019 00:00,66.25
02/01/2019 01:00,63.94
02/01/2019 02:00,62.835
02/01/2019 03:00,62.535
02/01/2019 04:00,61.43
02/01/2019 05:00,59.52
02/01/2019 06:00,61.13
02/01/2019 07:00,61.93
02/01/2019 08:00,60.93
02/01/2019 09:00,0
02/01/2019 10:00,0
02/01/2019 11:00,0
02/01/2019 12:00,0
02/01/2019 13:00,0
02/01/2019 14:00,0
02/01/2019 15:00,13.71
02/01/2019 16:00,0
02/01/2019 17:00,0
02/01/2019 18:00,0
02/01/2019 19:00,0
02/01/2019 20:00,0
02/01/2019 21:00,0
02/01/2019 22:00,0
02/01/2019 23:00,0
03/01/2019 00:00,0
03/01/2019 01:00,0
03/01/2019 02:00,0
03/01/2019 03:00,0
03/01/2019 04:00,0
03/01/2019 05:00,0
03/01/2019 06:00,0
03/01/2019 07:00,23.805
03/01/2019 08:00,57.035
03/01/2019 09:00,13.915
03/01/2019 10:00,0
03/01/2019 11:00,0
03/01/2019 12:00,0
03/01/2019 13:00,0
03/01/2019 14:00,26.175
03/01/2019 15:00,83.685
03/01/2019 16:00,0
03/01/2019 17:00,0
03/01/2019 18:00,69.8422
03/01/2019 19:00,75.845
03/01/2019 20:00,71.135
03/01/2019 21:00,68.635
03/01/2019 22:00,66.23
03/01/2019 23:00,67.34
04/01/2019 00:00,64.64
04/01/2019 01:00,63.135
04/01/2019 02:00,62.635
04/01/2019 03:00,62.135
04/01/2019 04:00,63.945
04/01/2019 05:00,62.635
04/01/2019 06:00,61.23
04/01/2019 07:00,63.33
04/01/2019 08:00,68.455
04/01/2019 09:00,53.695
04/01/2019 10:00,42.08
04/01/2019 11:00,0
04/01/2019 12:00,0
04/01/2019 13:00,0
04/01/2019 14:00,62.415
04/01/2019 15:00,93.31
04/01/2019 16:00,0
04/01/2019 17:00,0
04/01/2019 18:00,0
04/01/2019 19:00,73.67425
04/01/2019 20:00,74.56
04/01/2019 21:00,71.25
04/01/2019 22:00,73.57
04/01/2019 23:00,69.755
05/01/2019 00:00,69.46
05/01/2019 01:00,67.355
05/01/2019 02:00,68.56
05/01/2019 03:00,67.055
05/01/2019 03:59,67.16
05/01/2019 04:59,65.65
