,without V2G
31/01/2019 00:59,-73.58
31/01/2019 01:59,-75.49
31/01/2019 02:59,-74.385
31/01/2019 03:59,-74.185
31/01/2019 04:59,-490.59
31/01/2019 05:59,0
31/01/2019 06:59,0
31/01/2019 07:59,0
31/01/2019 08:59,0
31/01/2019 09:59,0
31/01/2019 10:59,0
31/01/2019 11:59,-11.35
31/01/2019 12:59,-47.35
31/01/2019 13:59,-87.185
31/01/2019 14:59,-104.775
31/01/2019 15:59,-108.885
31/01/2019 16:59,-108.85
31/01/2019 17:59,-100.27
31/01/2019 18:59,-87.3
31/01/2019 19:59,-85.39
31/01/2019 20:59,-81.17
31/01/2019 21:59,-77.46
31/01/2019 22:59,-72.36
31/01/2019 23:59,-71.26
01/02/2019 00:59,-69.955
01/02/2019 01:59,-71.065
01/02/2019 02:59,-69.055
01/02/2019 03:59,-72.27
01/02/2019 04:59,-72.975
01/02/2019 05:59,-71.465
01/02/2019 06:59,-71.56
01/02/2019 07:59,0
01/02/2019 08:59,0
01/02/2019 09:59,0
01/02/2019 10:59,0
01/02/2019 11:59,0
01/02/2019 12:59,0
01/02/2019 13:59,0
01/02/2019 14:59,-39.655
01/02/2019 15:59,0
01/02/2019 16:59,0
01/02/2019 17:59,0
01/02/2019 18:59,0
01/02/2019 19:59,0
01/02/2019 20:59,0
01/02/2019 21:59,0
01/02/2019 22:59,0
01/02/2019 23:59,0
02/02/2019 00:59,-16.93255
02/02/2019 01:59,-68.15
02/02/2019 02:59,-66.85
02/02/2019 03:59,-70.27
02/02/2019 04:59,-68.76
02/02/2019 05:59,-68.76
02/02/2019 06:59,-71.065
02/02/2019 07:59,0
02/02/2019 08:59,0
02/02/2019 09:59,6.55
02/02/2019 10:59,188.74
02/02/2019 11:59,211.3705556
02/02/2019 12:59,363.425
02/02/2019 13:59,300.455
02/02/2019 14:59,89.645
02/02/2019 15:59,0
02/02/2019 16:59,0
02/02/2019 17:59,0
02/02/2019 18:59,0
02/02/2019 19:59,0
02/02/2019 20:59,0
02/02/2019 21:59,0
02/02/2019 22:59,0
02/02/2019 23:59,0
03/02/2019 00:59,0
03/02/2019 01:59,0
03/02/2019 02:59,0
03/02/2019 03:59,-50.97
03/02/2019 04:59,-71.775
03/02/2019 05:59,-71.675
03/02/2019 06:59,-74.875
03/02/2019 07:59,-10.485
03/02/2019 08:59,0
03/02/2019 09:59,0
03/02/2019 10:59,0
03/02/2019 11:59,0
03/02/2019 12:59,0
03/02/2019 13:59,0
03/02/2019 14:59,-28.955
03/02/2019 15:59,0
03/02/2019 16:59,0
03/02/2019 17:59,0
03/02/2019 18:59,0
03/02/2019 19:59,0
03/02/2019 20:59,0
03/02/2019 21:59,0
03/02/2019 22:59,0
03/02/2019 23:59,0
04/02/2019 00:59,-17.4837
04/02/2019 01:59,-69.755
04/02/2019 02:59,-68.255
04/02/2019 03:59,-65.945
04/02/2019 04:59,-64.335
04/02/2019 05:59,-64.435
04/02/2019 06:59,-64.13
04/02/2019 07:59,-5.035
04/02/2019 08:59,0
04/02/2019 09:59,0
04/02/2019 10:59,0
04/02/2019 11:59,0
04/02/2019 12:59,304.5355556
04/02/2019 13:59,308.18
04/02/2019 14:59,116.78
04/02/2019 15:59,0
04/02/2019 16:59,0
04/02/2019 17:59,0
04/02/2019 18:59,0
04/02/2019 19:59,0
04/02/2019 20:59,0
04/02/2019 21:59,0
04/02/2019 22:59,0
04/02/2019 23:59,0
05/02/2019 00:59,0
05/02/2019 01:59,0
05/02/2019 02:59,0
05/02/2019 03:59,0
05/02/2019 04:59,0
05/02/2019 05:59,-14.59
05/02/2019 06:59,-64.335
05/02/2019 07:59,0
05/02/2019 08:59,0
05/02/2019 09:59,0
05/02/2019 10:59,0
05/02/2019 11:59,0
05/02/2019 12:59,0
05/02/2019 13:59,-30.33
05/02/2019 14:59,-56.24
05/02/2019 15:59,0
05/02/2019 16:59,0
05/02/2019 17:59,-15.1003
05/02/2019 18:59,-75.545
05/02/2019 19:59,-75.34
05/02/2019 20:59,-76.14
05/02/2019 21:59,-70.74
05/02/2019 22:59,-72.455
05/02/2019 23:59,-71.745
06/02/2019 00:59,-68.945
06/02/2019 01:59,-66.945
06/02/2019 02:59,-66.345
06/02/2019 03:59,-64.84
06/02/2019 04:59,-64.44
06/02/2019 05:59,-63.835
06/02/2019 06:59,-66.85
06/02/2019 07:59,-48.84
06/02/2019 08:59,-31.725
06/02/2019 09:59,-8.09
06/02/2019 10:59,-7.485
06/02/2019 11:59,0
06/02/2019 12:59,-31.04105
06/02/2019 13:59,-85.755
06/02/2019 14:59,-99.535
06/02/2019 15:59,-109.34
06/02/2019 16:59,-109.52
06/02/2019 17:59,-100.855
06/02/2019 18:59,-92.11
06/02/2019 19:59,-82.86
06/02/2019 20:59,-75.855
06/02/2019 21:59,-75.86
06/02/2019 22:59,-71.35
06/02/2019 23:59,-68.245
07/02/2019 00:59,-66.645
07/02/2019 01:59,-66.145
07/02/2019 02:59,-66.65
07/02/2019 03:59,-68.555
07/02/2019 04:59,-69.355
07/02/2019 05:59,-65.645
07/02/2019 06:59,-70.36
07/02/2019 07:59,-29.28
07/02/2019 08:59,0
07/02/2019 09:59,232.04
07/02/2019 10:59,377.235
07/02/2019 11:59,462.4455556
07/02/2019 12:59,660.15
07/02/2019 13:59,521.935
07/02/2019 14:59,218.72
07/02/2019 15:59,0
07/02/2019 16:59,0
07/02/2019 17:59,0
07/02/2019 18:59,0
07/02/2019 19:59,0
07/02/2019 20:59,0
07/02/2019 21:59,0
07/02/2019 22:59,0
07/02/2019 23:59,0
08/02/2019 00:59,0
08/02/2019 01:59,0
08/02/2019 02:59,0
08/02/2019 03:59,-7.865
08/02/2019 04:59,-66.65
08/02/2019 05:59,-67.755
08/02/2019 06:59,-66.255
08/02/2019 07:59,0
08/02/2019 08:59,0
08/02/2019 09:59,0
08/02/2019 10:59,17.86
08/02/2019 11:59,352.0955556
08/02/2019 12:59,231.18
08/02/2019 13:59,122.605
08/02/2019 14:59,-20.185
08/02/2019 15:59,0
08/02/2019 16:59,0
08/02/2019 17:59,0
08/02/2019 18:59,0
08/02/2019 19:59,0
08/02/2019 20:59,0
08/02/2019 21:59,0
08/02/2019 22:59,0
08/02/2019 23:59,0
09/02/2019 00:59,0
09/02/2019 01:59,0
09/02/2019 02:59,0
09/02/2019 03:59,0
09/02/2019 04:59,-39.57
09/02/2019 05:59,-61.525
09/02/2019 06:59,-64.535
09/02/2019 07:59,-30.55
09/02/2019 08:59,0
09/02/2019 09:59,0
09/02/2019 10:59,0
09/02/2019 11:59,56.39
09/02/2019 12:59,80.95055556
09/02/2019 13:59,335.85
09/02/2019 14:59,114.985
09/02/2019 15:59,0
